Posición,Jugador
1,I. Nastase
2,J. Newcombe
3,M. Orantes
4,S. Smith
5,"5






J. Connors"
6,"2






T. Okker"
7,"-1






K. Rosewall"
8,"-3






J. Kodes"
9,"-2






A. Ashe"
10,"-1






R. Laver"
11,R. Taylor
12,A. Panatta
13,N. Pilic
14,T. Gorman
15,M. Riessen
16,"1






P. Bertolucci"
17,"-1






C. Richey"
18,"1






R. Emerson"
19,"-1






M. Cox"
20,V. Amritraj
21,B. Gottfried
22,"1






R. Tanner"
23,"-1






J. Fillol Sr."
24,"1






B. Fairlie"
25,"2






D. Stockton"
26,C. Drysdale
27,"1






J. Alexander"
28,"2






K. Meiler"
29,"16






R. Ramirez"
30,"1






G. Vilas"
31,"-7






B. Borg"
32,"1






A. Metreveli"
33,"1






R. Lutz"
34,"1






J. Fassbender"
35,"2






C. Dibley"
36,"5






O. Parun"
37,"-1






E. Van Dillen"
38,F. Jauffret
39,"-7






P. Proisy"
40,"-1






F. Stolle"
41,"-1






E. Dibbs"
42,"2






P. Gerken"
43,"4






R. Moore"
44,"-3






J. Hrebec"
45,"-2






P. Dominguez"
46,"6






C. Pasarell"
47,"-2






D. Crealy"
48,R. Case
49,I. Molina
50,"4






C. Graebner"
51,P. Szoke
52,"1






P. Dent"
53,"2






S. Mayer"
54,"-4






O. Bengtson"
55,"1






A. Stone"
56,"32






J. Austin"
56,G. Masters
56,A. Zugarelli
59,"1






M. Mulligan"
60,"3






A. Pattison"
61,G. Goven
62,"4






J. Gisbert Sr"
62,"2






H. Solomon"
64,"1






G. Battrick"
64,"5






B. Jovanovic"
66,"7






J. Cooper"
66,"4






M. Estep"
66,"7






F. McMillan"
69,"2






F. Froehling"
70,"5






I. Tiriac"
71,"5






R. Maud"
72,B. Carmichael
73,"3






B. Phillips-Moore"
74,"4






W. N'Godrella"
75,"5






I. El Shafei"
76,"-10






J. Simpson"
77,"5






P. Barthes"
78,"10






H. Rahim"
79,"5






J. Kamiwazumi"
80,"5






I. Fletcher"
80,"5






A. Munoz"
82,"1






J. Chanfreau"
82,"5






M. Holecek"
82,"6






J. Lloyd"
82,"6






J. Paish"
86,"8






M. Lara"
87,"1






V. Zednik"
88,"7






C. Barazzutti"
89,"7






Z. Franulovic"
89,"11






B. Seewagen"
91,"21






J. Borowiak"
92,"6






P. Cornejo"
93,"4






J. McManus"
94,"5






S. Baranyi"
95,"13






P. Cramer"
96,"7






H. Kary"
97,"8






T. Edlefsen"
98,"4






J. Bartlett"
99,"7






A. Amritraj"
99,"7






J. Mandarino"
101,"7






T. Addison"
101,"13






T. Ulrich"
103,"8






T. Leonard"
104,"9






J. Feaver"
104,"11






F. Pala"
106,"9






G. Stilwell"
107,"13






J. Loyo-Mayo"
108,"13






N. Kalogeropoulos"
109,"14






R. McKinley"
109,"13






T. Sakai"
111,"4






T. Ryan"
112,"13






P. Lall"
113,"11






R. Barth"
114,"13






K. Warwick"
115,"16






S. Faulk"
116,"16






W. Lloyd"
117,"17






V. Korotkov"
118,"-89






V. Gerulaitis"
119,"16






H. Pohmann"
120,"16






C. Dowdeswell"
121,"17






T. Nowicki"
122,"17






H. Elschenbroich"
123,"14






R. Gonzales"
124,"16






G. Scott"
125,"16






B. Giltinan"
126,"16






L. Johansson"
127,"17






J. Mukerjea"
128,"17






M. Belkin"
129,"14






O. Davidson"
130,"-74






A. Gimeno"
131,"15






P. Kanderal"
132,"16






R. Ruffels"
133,T. Svensson
134,"16






J. Whitlinger"
135,"-73






C. Owens"
136,"11






B. Martin"
137,"-71






B. Mottram"
138,"13






J. Rouyer"
139,"13






J. Delaney"
140,"47






D. Bohrnstedt"
141,"13






J. Thamin"
142,"-63






J. Pinto-Bravo"
143,"6






B. Teacher"
144,"-63






B. Mignot"
145,"8






D. Dell"
146,"9






W. Bungert"
147,"9






E. Castigliano"
148,"9






T. Christensen"
149,"9






B. Csoknyai"
150,"9






F. Falderbaum"
151,"9






H. Fitzgibbon"
152,"9






J. Haillet"
153,"9






G. Hardie"
154,"9






R. Hernando"
155,"9






J. Hordijk"
156,"9






R. Hoskowetz"
157,"9






T. Kakoulia"
158,P. Kronk
159,"8






C. Letcher"
160,M. Machette
161,"7






G. Merlo"
162,"7






B. Mitton"
163,"7






T. Moor"
164,"7






P. Musalem"
165,"7






U. Pinner"
166,"7






D. Russell"
167,"9






S. Stewart"
168,"6






S. Tarpischev"
169,"6






A. Volkov"
170,"-82






S. Warboys"
171,"6






E. Di Matteo"
172,"6






J. Singh"
173,"-72






A. Korpas"
174,"-70






R. Machan"
175,"5






T. Ovici"
176,"5






V. Franchitti"
177,"5






J. Couder"
178,"5






K. McMillan"
179,"5






F. McNair IV"
180,"-72






M. Vazquez"
181,"5






J. Benyik"
182,"-67






B. Bertram"
183,"5






J. Castanon"
184,"5






R. Chavez"
185,"5






F. Gebert"
186,"5






Z. Guerry"
187,"-72






P. Hombergen"
188,R. Kreiss
189,"3






R. Lewis"
190,"-11






R. Norberg"
191,A. Olmedo
192,"1






B. Prajoux"
193,"2






P. Toci"
194,"-9






E. Alvarez"
195,"2






J. Kukal"
196,G. Reid
197,"1






V. Amaya"
198,"1






S. Ball"
199,"-74






P. Dupre"
200,H. Engert
201,J. Ganzabal
202,"-6






W. Higgins"
203,K. Johansson
204,"-10






D. Ralston"
205,"-72






P. Rodriguez"
206,"-4






J. Herrera"
207,"-79






I. Gulyas"
208,"-80






D. Lloyd"
209,"-79






N. Spear"
210,J. Velasco Sr
211,"-6






H. Hose"
212,"-6






F. Robbins"
213,"-6






S. Krulevitz"
